Datetime;Branch;Gender;Age;NPS;CSI;Loyalty;CES;Account Opening;ATM Service;Mobile Banking;Internet Banking;Customer Service;Loan Application;Complaint Handling;Branch Cleanliness;Staff Friendliness;Transaction Speed;Improvement_Feedback
11/01/2025 20.03;Bogor Selatan;Male;22;7;4;4;4;4;4;5;4;4;4;4;4;4;3;overall good
05/01/2025 05.17;Tanah Sareal;Female;27;4;3;3;3;3;3;4;3;3;3;3;3;3;3;overall good
11/01/2025 14.43;Sukaraja;Male;48;9;4;3;4;4;3;4;3;4;3;3;4;4;4;overall good
27/01/2025 10.54;Cibinong;Female;53;7;4;3;4;4;4;4;3;4;4;3;4;4;4;overall good
01/01/2025 07.34;Gunung Putri;Male;35;8;3;4;4;3;3;3;3;4;4;4;4;4;3;overall good
08/01/2025 13.08;Baranangsiang;Female;65;10;4;4;4;3;4;4;4;4;3;4;4;5;4;overall good
05/01/2025 16.40;Yasmin;Male;42;10;3;4;4;3;4;4;4;3;3;3;3;4;4;overall good
23/01/2025 07.16;Bojonggede;Female;43;7;4;3;4;4;3;4;4;5;4;4;4;3;4;overall good
04/01/2025 19.48;Cijeruk;Male;28;8;5;4;4;4;3;4;4;4;3;5;3;4;5;overall good
18/01/2025 13.20;Cijeruk;Female;39;4;3;4;3;3;4;3;4;3;4;3;3;4;3;overall good
12/01/2025 01.31;Sukaraja;Male;33;7;4;3;4;4;4;3;3;4;4;4;4;4;4;overall good
05/01/2025 21.40;Dramaga;Female;26;6;4;5;4;3;4;3;4;4;3;4;4;4;5;overall good
08/01/2025 21.30;Leuwiliang;Male;38;10;4;3;3;4;4;4;4;4;4;4;5;4;3;overall good
04/01/2025 11.11;Bojonggede;Female;43;10;4;3;4;4;3;3;3;3;4;4;3;4;4;overall good
08/01/2025 22.22;Kemang;Male;61;9;4;4;3;4;4;4;4;3;3;4;4;4;5;overall good
16/01/2025 17.49;Babakan Madang;Female;45;9;4;4;4;4;4;4;4;4;4;5;3;4;3;overall good
16/01/2025 07.31;Bogor Barat;Male;35;6;4;4;3;3;4;3;4;4;3;5;4;3;4;overall good
11/01/2025 07.43;Leuwiliang;Female;38;10;4;3;4;4;4;3;3;3;3;4;4;3;4;overall good
07/01/2025 22.27;Caringin;Male;46;8;5;4;4;5;4;5;5;4;4;3;4;4;4;overall good
29/01/2025 09.05;Cileungsi;Female;29;10;4;4;4;5;4;5;4;4;5;4;4;4;4;overall good
07/01/2025 17.10;Gunung Putri;Male;58;9;4;4;3;5;3;4;4;4;4;4;4;4;4;overall good
06/01/2025 07.45;Ciawi;Female;52;9;4;4;4;4;4;3;4;4;4;4;4;5;4;overall good
29/01/2025 22.52;Tanah Sareal;Male;61;10;4;4;4;4;4;5;4;4;4;4;4;4;4;overall good
26/01/2025 16.27;Bogor Timur;Female;45;10;4;3;3;4;4;4;4;4;3;4;3;4;3;overall good
06/01/2025 13.27;Cileungsi;Male;56;0;3;4;3;3;4;4;3;3;4;3;3;3;3;overall good
06/01/2025 09.58;Cijeruk;Female;38;8;4;4;4;4;3;4;4;4;3;4;5;4;4;overall good
13/01/2025 18.52;Dramaga;Male;48;9;4;4;4;4;4;4;4;5;4;5;4;4;4;overall good
31/01/2025 08.31;Ciawi;Female;32;7;4;4;4;3;4;4;5;5;5;5;4;4;5;overall good
08/01/2025 10.04;Dramaga;Male;61;7;4;4;3;3;4;3;4;3;3;3;3;3;4;overall good
30/01/2025 01.49;Bojonggede;Female;31;7;3;4;4;4;3;3;4;4;3;4;4;4;4;overall good
15/01/2025 22.16;Ciomas;Male;52;10;5;4;5;5;5;4;5;5;4;4;3;4;5;overall good
05/01/2025 03.47;Cibinong;Female;24;9;4;5;4;3;4;4;4;3;4;4;5;4;4;overall good
07/01/2025 02.31;Caringin;Male;25;4;3;4;4;3;4;3;3;4;3;3;3;5;4;overall good
13/01/2025 20.48;Tanah Sareal;Female;63;9;4;4;4;4;4;3;3;3;2;3;4;4;3;improve Loan Application
27/01/2025 04.19;Ciawi;Male;59;9;4;5;4;4;3;3;4;4;3;4;3;5;4;overall good
22/01/2025 06.25;Yasmin;Female;40;10;4;4;3;5;4;3;4;3;3;4;5;3;4;overall good
04/01/2025 02.35;Ciawi;Male;49;9;3;3;3;4;3;4;4;3;3;3;4;4;3;overall good
29/01/2025 13.34;Ciomas;Female;22;7;4;3;4;3;4;3;3;3;4;4;3;4;3;overall good
12/01/2025 02.44;Cibinong;Male;21;9;3;4;4;3;4;4;3;4;3;4;5;3;3;overall good
25/01/2025 23.02;Bogor Timur;Female;23;0;4;4;4;4;4;5;4;4;4;4;4;4;4;overall good
27/01/2025 04.15;Cibinong;Male;38;7;5;4;4;4;4;3;3;3;4;4;5;4;4;overall good
23/01/2025 23.03;Tanah Sareal;Female;57;7;3;4;4;3;5;4;4;4;5;4;4;4;4;overall good
18/01/2025 04.47;Gunung Putri;Male;33;10;4;4;4;4;4;5;4;4;4;4;4;4;4;overall good
05/01/2025 18.39;Gunung Putri;Female;47;9;4;4;5;4;3;3;5;4;4;4;3;5;4;overall good
13/01/2025 01.42;Bogor Barat;Male;46;7;4;4;4;3;4;5;5;5;4;3;4;4;4;overall good
21/01/2025 11.31;Yasmin;Female;33;7;4;3;3;3;2;4;3;3;3;3;4;3;3;improve ATM Service
22/01/2025 12.17;Baranangsiang;Male;38;9;4;3;4;4;4;5;4;4;3;5;4;4;4;overall good
05/01/2025 12.39;Cijeruk;Female;27;9;4;4;4;4;4;4;4;4;5;3;4;4;3;overall good
11/01/2025 09.02;Cibinong;Male;31;10;4;3;3;3;5;4;4;4;3;3;4;3;4;overall good
19/01/2025 22.52;Leuwiliang;Female;24;9;4;4;4;4;4;3;4;4;4;4;3;4;4;overall good
08/01/2025 12.21;Cileungsi;Male;50;10;4;3;3;3;4;3;5;3;4;4;4;3;4;overall good
29/01/2025 02.47;Yasmin;Female;39;9;4;4;4;4;4;4;3;3;4;4;4;4;4;overall good
03/01/2025 10.25;Cijeruk;Male;24;0;3;4;3;4;3;4;4;4;4;4;4;3;3;overall good
03/01/2025 18.16;Sukaraja;Female;51;7;4;4;3;4;3;3;3;3;3;3;4;3;5;overall good
29/01/2025 21.15;Ciawi;Male;26;0;4;4;4;4;4;5;4;5;4;4;5;4;5;overall good
06/01/2025 19.40;Bogor Timur;Female;64;3;4;4;4;4;3;4;4;4;4;4;3;4;4;overall good
31/01/2025 01.37;Sukaraja;Male;36;7;4;4;4;4;3;4;4;4;3;3;4;4;4;overall good
13/01/2025 15.48;Bogor Timur;Female;47;8;4;4;4;4;4;4;4;4;4;4;3;4;4;overall good
13/01/2025 21.27;Yasmin;Male;63;7;4;5;4;4;5;4;5;4;5;5;4;4;5;overall good
23/01/2025 04.42;Leuwiliang;Female;29;8;4;4;4;4;4;4;4;4;4;5;4;5;4;overall good
04/01/2025 13.21;Ciomas;Male;25;9;4;3;4;4;4;4;5;3;4;3;4;3;4;overall good
17/01/2025 22.37;Cijeruk;Female;34;7;4;4;4;4;5;4;3;5;5;4;4;4;4;overall good
22/01/2025 06.31;Bogor Timur;Male;36;9;5;4;4;3;4;4;5;4;4;4;5;5;4;overall good
27/01/2025 22.09;Cijeruk;Female;40;7;4;4;4;4;3;4;4;4;4;4;4;4;4;overall good
13/01/2025 20.07;Dramaga;Male;63;9;4;4;3;4;4;4;4;4;4;3;4;4;5;overall good
14/01/2025 05.18;Bogor Selatan;Female;27;7;4;4;4;4;4;4;4;3;4;4;3;4;3;overall good
10/01/2025 21.12;Dramaga;Male;59;10;4;4;4;5;4;4;5;3;3;4;4;4;5;overall good
05/01/2025 11.32;Cileungsi;Female;53;7;4;3;4;4;4;5;3;3;4;4;4;4;4;overall good
07/01/2025 08.24;Gunung Putri;Male;38;10;4;3;4;4;4;4;4;4;4;4;4;3;4;overall good
28/01/2025 05.30;Cileungsi;Female;31;8;4;4;3;4;3;4;3;3;3;3;2;3;4;improve Branch Cleanliness
27/01/2025 11.39;Bogor Tengah;Male;28;9;4;4;4;4;3;5;4;4;4;4;3;4;4;overall good
21/01/2025 20.44;Bogor Barat;Female;44;7;3;4;4;3;4;4;4;4;3;4;4;4;4;overall good
18/01/2025 08.52;Tanah Sareal;Male;23;9;4;5;4;5;4;5;4;4;4;4;4;4;4;overall good
18/01/2025 04.03;Yasmin;Female;64;9;4;4;4;4;4;4;3;4;3;4;4;4;5;overall good
08/01/2025 12.04;Cijeruk;Male;47;5;3;4;4;4;3;4;3;3;4;4;3;4;4;overall good
